title,price,image_url
Apple Airpods Pro 2nd Generation - Good,$159.99,https://i.ebayimg.com/thumbs/images/g/e2sAAOSwmq5j7lHf/s-l300.jpg
New ListingApple AirPods Pro 2nd Generation with MagSafe Wireless Charging Case - White,$4.99,https://i.ebayimg.com/thumbs/images/g/dkEAAOSwzmhlOn7j/s-l300.jpg
Airpods Pro 2nd Generation Bluetooth Earbuds Earphone Headset & Charging Case,$62.99,https://i.ebayimg.com/thumbs/images/g/QY0AAOSwiMBlAWKL/s-l300.jpg
AirPods Pro 2nd generation with MagSafe Wireless Charging Case - White,$91.43,https://i.ebayimg.com/thumbs/images/g/HcEAAOSwG~5lPAYU/s-l300.jpg
Apple AirPods Pro with MagSafe Wireless Charging Case - White,$42.00,https://i.ebayimg.com/thumbs/images/g/yysAAOSwqU9k4287/s-l300.jpg
Apple AirPods Pro 2nd Generation with MagSafe Wireless Charging Case - White,$60.00,https://i.ebayimg.com/thumbs/images/g/oAUAAOSwjc5lIcQU/s-l300.jpg
*BEST OFFER* Apple AirPods Pro 2nd Generation with Wireless Charging Case White,$81.31,https://i.ebayimg.com/thumbs/images/g/ZWYAAOSw-E9lFSd1/s-l300.jpg
Apple AirPods Pro 2nd Generation With Magsafe Wireless Charging Case,$84.00,https://i.ebayimg.com/thumbs/images/g/blgAAOSwms5lQ~1n/s-l300.jpg
AirPods Pro 2 (used ).,$99.00,https://i.ebayimg.com/thumbs/images/g/uGYAAOSwJxtlOvl7/s-l300.jpg
Apple AirPods Pro 2nd Generation with MagSafe Wireless Charging Case - White,$90.00,https://i.ebayimg.com/thumbs/images/g/mv0AAOSw65xlQqu2/s-l300.jpg
Apple Airpods Pro 2nd Gen RIGHT Airpod Pro - Original Airpods Pro 2nd Right Side,$68.98,https://i.ebayimg.com/thumbs/images/g/R0oAAOSw7Glj7qda/s-l300.jpg
Apple AirPods Pro (1st Gen) with Wireless Charging Case - White FREE SHIPPING,$50.00,https://i.ebayimg.com/thumbs/images/g/8okAAOSwU3JlDwRp/s-l300.jpg
Apple Airpods Pro LEFT Side Airpod Only - Original Apple Airpods Pro for replace,$49.98,https://i.ebayimg.com/thumbs/images/g/8GEAAOSw1Gli12JK/s-l300.jpg
Apple AirPods Pro 2nd Generation with MagSafe Wireless Charging Case - White,$94.99,https://i.ebayimg.com/thumbs/images/g/RCIAAOSw1PtlODcD/s-l300.jpg
"Apple AirPods Pro Wireless Charging Case A2190, Very Good Condition",$49.99,https://i.ebayimg.com/thumbs/images/g/Ql0AAOSwq~JjM0vQ/s-l300.jpg
Apple AirPods Pro (2nd Generation)With  Wireless Earbuds Charging Case FREE SHIP,$48.00,https://i.ebayimg.com/thumbs/images/g/8pEAAOSwFhVkbWh6/s-l300.jpg
Apple AirPods Pro 1st Generation with  Wireless Charging Case - MWP22AM/A,$41.00,https://i.ebayimg.com/thumbs/images/g/M90AAOSw2kplPSH3/s-l300.jpg
Apple AirPods Pro 1st Gen with Wireless Charging Case-Genuine Apple Airpods Pro,$129.98,https://i.ebayimg.com/thumbs/images/g/jUIAAOSw4UtlMZoz/s-l300.jpg
Apple AirPods Pro 2nd Generation with MagSafe Wireless Charging Case - White,$50.00,https://i.ebayimg.com/thumbs/images/g/xzgAAOSw91tkr6Tf/s-l300.jpg
Apple Airpods Pro 2nd Gen - Select Left or Right Airpods or Charging Case Good,$69.95 to $142.95,https://i.ebayimg.com/thumbs/images/g/UAEAAOSwIXxj9qQW/s-l300.jpg
APPLE AIRPODS PRO 2ND GEN MAGSAFE WIRELESS CHARGING CASE A2700 GENUINE *BP27*,$86.57,https://i.ebayimg.com/thumbs/images/g/tK8AAOSwUN9j5euS/s-l300.jpg
Apple AirPods Pro 2nd Generation with MagSafe Wireless Charging Case - White,$35.00,https://i.ebayimg.com/thumbs/images/g/B-4AAOSwgy5lHy8S/s-l300.jpg
Apple AirPods Pro with MagSafe Charging Case [2nd Gen] (USB-C),$188.63,https://i.ebayimg.com/thumbs/images/g/5OQAAOSw4wFlIeaZ/s-l300.jpg
Apple AirPods Pro Bluetooth Wireless Earbuds  ✅ AUS SELLER ✅,$65.04,https://i.ebayimg.com/thumbs/images/g/oBYAAOSwxedlEQ1T/s-l300.jpg
