title,price,image_url,status,link
Shop on eBay,$20.00,https://ir.ebaystatic.com/rs/v/fxxj3ttftm5ltcqnto1o4baovyl.png,Brand New,https://ebay.com/itm/123456?hash=item28caef0a3a:g:E3kAAOSwlGJiMikD&amdata=enc%3AAQAHAAAAsJoWXGf0hxNZspTmhb8%2FTJCCurAWCHuXJ2Xi3S9cwXL6BX04zSEiVaDMCvsUbApftgXEAHGJU1ZGugZO%2FnW1U7Gb6vgoL%2BmXlqCbLkwoZfF3AUAK8YvJ5B4%2BnhFA7ID4dxpYs4jjExEnN5SR2g1mQe7QtLkmGt%2FZ%2FbH2W62cXPuKbf550ExbnBPO2QJyZTXYCuw5KVkMdFMDuoB4p3FwJKcSPzez5kyQyVjyiIq6PB2q%7Ctkp%3ABlBMULq7kqyXYA
Apple AirPods 3rd Generation Wireless In-Ear Headset - White - Excellent,$114.99,https://i.ebayimg.com/thumbs/images/g/r1wAAOSwLiFh6ImN/s-l300.jpg,Excellent - Refurbished,https://www.ebay.com/itm/185472057926?hash=item2b2eff0246:g:r1wAAOSwLiFh6ImN&amdata=enc%3AAQAIAAAAwI9Y3Ujnuv4X%2BU6%2F2p1W%2FJgD4t7KRRAC%2BgHfEow5YMZ4qsJs9DDjhA8QBeWnq0BcPVM%2BZQ6W9rd8u9jdHaUZjShsztLYAkt2N5G0EDwAsaSgT6a7%2FifzL7goKvMg2FQyXgPr1TEkwZKwU9cqNpiEvzaBSEMMZpBWnT09qM97YC1fhOsIi4PjjV5KuJvusz2In52MItvJd6PH4DaN4akylorQLfRq2YggmeqIPs6bdBhgTbQKGD1pMuVdH%2BNiHO3I8g%3D%3D%7Ctkp%3ABlBMUJqj_pjzYg
Apple Airpods Pro with Magsafe Charging Case - A2083 A2190 MLWK3AM/A. Excellent,$134.99,https://i.ebayimg.com/thumbs/images/g/tYIAAOSwRxZhTgXt/s-l300.jpg,Excellent - Refurbished,https://www.ebay.com/itm/166343779774?hash=item26badca5be:g:tYIAAOSwRxZhTgXt&amdata=enc%3AAQAIAAAAwBIoFYfQ9i9jgpETZSr2rdN58umc%2BS6kAGoG5ih3cM1IV2L6%2BOZUezzTXYlnp%2B7Cphb8%2F6%2FEv7nDclAWnLf9%2F2MzgJFWeCsfY%2FaFou1ycjZEo2ZiVwErFEEq89k7drfrm%2Fcphx8r0SCwROPC7YbnwV8ucgsqDzM9of48h5siFkz%2BJ%2BT8lOJ%2BPK0MtrODxsG%2FbPouU4b4VL%2Bd7140ohX9zUvaeb5%2B5sqK6%2FefKl2%2FRoS1sxZRkizhDMaHyVJ05KBLtQ%3D%3D%7Ctkp%3ABlBMUJyj_pjzYg
Apple AirPods Pro with Magsafe Charging Case - White (MLWK3AM/A)™,$150.59,https://i.ebayimg.com/thumbs/images/g/wqkAAOSw1GRkJa1i/s-l300.jpg,Excellent - Refurbished,https://www.ebay.com/itm/115750152737?hash=item1af33f2a21:g:wqkAAOSw1GRkJa1i&amdata=enc%3AAQAIAAAAwPxi43avd74x2oGbf6hL07iD2ZmG3AuxNIHvYLzXzttrjbj5zgr5vrlu41ASPZLQnamP%2BFhiXX2U9GU5%2FSs7IXcXQv8iT1buga8HaNo7f3yAEkLgtKsB7ABCimcZiZApOMYq4AGE61ZcqLqLUVCTlO4kQMGBL8E%2BXW0AXHgZnMb62QotEzgkxlFvZK04oByrMi9iE8o0B66vRKFMXI85nSQTJQazfeFZ3t0H5odTSXf%2Bjiq8fONtMT2YciOimREFpQ%3D%3D%7Ctkp%3ABlBMUJyj_pjzYg
Apple Airpods Pro with Wireless Charging Case - A2083 MWP22AM/A. Excellent,$134.99,https://i.ebayimg.com/thumbs/images/g/tYIAAOSwRxZhTgXt/s-l300.jpg,Excellent - Refurbished,https://www.ebay.com/itm/185480806247?hash=item2b2f847f67:g:tYIAAOSwRxZhTgXt&amdata=enc%3AAQAIAAAAwGMkh7uMvd19nEjUlWCswcicMVV33wxPPSQvvrX5e%2FcHLbKaNf0gnA27ULo7Vb%2FJ6XdyXTXhBMoHzX3RZWwAqrGE7tHvwIIrnsYMu95jIQMvxd%2FZ1MlamQzn%2F2bIrJslroSagn4u2ohpisYgKaqrWmKPGQFhPa%2FIPBCKifgEeEDUJ%2F8eiahDwEzfjcTQDFoCVn6MsXgHWA5Eu7THbMkFYgyZX%2BFbPUtsGJ7msmCUpXkcFVkHvOsB%2BiqWUdMRAONKIQ%3D%3D%7Ctkp%3ABlBMUJyj_pjzYg
For Airpods Pro （2nd generation）Earbuds Earphones with Charging Case,$45.29,https://i.ebayimg.com/thumbs/images/g/8S8AAOSwprBlAm8F/s-l300.jpg,Open Box,https://www.ebay.com/itm/354893250400?hash=item52a1493f60:g:8S8AAOSwprBlAm8F&amdata=enc%3AAQAIAAAA4HYEGqpCU6mbPydaBzAPDXwp3%2FiMKjZ79R410Rm%2BRkbncVq7CSSSbYt42enVFxSQ8zxcFaJ4IusGzJAq8qWf%2BHm14rltp9Z6RTvBdHgVaBcIShSnGorVbgkF8Cf4WEELwTMykC1Kmcggm3p1V3oCGi%2BzUWLMAF0a9QaokNYZSQ1NgNKOEd1BGvmNZn857wCwVfoc8I3w%2BNkSGYWXgZ5nnXgDtKq0nA4pJTgiIv2mpNdmbtOaHGmEIjPGPeCA3dJCL1jCRADbKfmvgNrpBfBHseebK87Bgz4NZi9hN%2BPmDCUk%7Ctkp%3ABk9SR5yj_pjzYg
For Airpods Pro （2nd generation）Earbuds Earphones with Charging Case and Lanyard,$44.63,https://i.ebayimg.com/thumbs/images/g/QqMAAOSwq0JlLi2-/s-l300.jpg,Pre-Owned,https://www.ebay.com/itm/295569376698?hash=item44d14ec5ba:g:QqMAAOSwq0JlLi2-&amdata=enc%3AAQAIAAAAwFwHV5q7R8uNpVVJuFF9elRMQh4ssQ1VmtOBfyYd%2F5Wd8c22PuIngNXOGZdm4KNvcjfNJSoczzcTCFaWgsdXJTcBACNPXKGmRugWrniQJbjpR3LqD%2F1%2Bqjg8a4ngPUNJP9%2FNdi6LVHEn0tzRBRmVIuby1KoqESdxlQV8YXjMmx%2BWevQZj6TJhOjXCTy2BCcaC6msCLPGYXSIlEnrVQmi7uCDaKR7GDc57Wmn%2FZSeJzwrEPnwM%2BQYXbUw6zfdsNI9%2Fg%3D%3D%7Ctkp%3ABk9SR5yj_pjzYg
Apple AirPods Pro 2nd Generation With Magsafe Wireless Charging Case MQD83AM/A,$159.95,https://i.ebayimg.com/thumbs/images/g/fKgAAOSwWuRjZXXl/s-l300.jpg,100% AUTHENTIC WITH SERIAL NUMBER SHIPS OUT IN 24 HOURS,https://www.ebay.com/itm/295317463511?hash=item44c24ae1d7:g:fKgAAOSwWuRjZXXl&amdata=enc%3AAQAIAAAA4CfO%2F7ZKMLLQNEjxJA9e90pyPKvcAUaW28TFK9cWO%2Bnh0u1NroYEyPFWlrEk4cB03OerF8MPTMK0tu3R7V74oRAuzqMw0dCjhT7KnuJ%2BYVj49mCRcHgYCi3EVAo0KDMDULWRUFd1CkHj3uVk5LQRRG6Q1snS4cs82j1FCZRX9anvL0yDnQvdU3HKF71edHB5CSluunQb5C91ZcHqPhVR3lMQo4GsgUVveDVxxCTw40%2FSp0vKQvHpSFjj8QsatsC00Go%2FHOpZjiX8DfvxYVf0sfcELvTpDgJhPIf8ObR5tq8U%7Ctkp%3ABk9SR5yj_pjzYg
Apple AirPods Pro (2nd Generation) Gen 2 - Excellent,$154.99,https://i.ebayimg.com/thumbs/images/g/ywMAAOSwDLljl75S/s-l300.jpg,Excellent - Refurbished,https://www.ebay.com/itm/165787124485?hash=item2699aec305:g:ywMAAOSwDLljl75S&amdata=enc%3AAQAIAAAAwNeO2w6Pgw%2BNbjnxSPdYhywkFDaRG%2FZc053vUYDLMCTlFZNfDneUAcN1lnosmTR%2BGOCXv8x0dxRnsTR4jC%2BpknHfUSBXek90XDoXyi5CThiN6JeKuyxzAHTTEsVdVlrPIsu8cqzrfSEXii4YJC8ip1OIJrCabOGbAb%2BYt8fbgt0JYHhy2m1nDvpaNa3KeOaBDOInz80HEmvfK4%2BC2bRBcRSvZeawyOpsyS89uY4Vx8lp4r8%2FXn%2FuO%2Fxt4%2BN0MWk9MQ%3D%3D%7Ctkp%3ABk9SR5yj_pjzYg
Apple AirPods Pro (2nd Generation) with MagSafe Wireless Charging Case - White,$154.75,https://i.ebayimg.com/thumbs/images/g/~E0AAOSwL4xjg5lL/s-l300.jpg,100% Authentic APPLE / Ships out in 24 Hrs,https://www.ebay.com/itm/266012284550?hash=item3def915686:g:~E0AAOSwL4xjg5lL&amdata=enc%3AAQAIAAAA4M8PL8aXe%2BcC7kknGp17jR2ztNQynG8zlSyIDXnSWRQIK7u2aY39eiZ%2FuQV0g4Zo7qZ%2BHv%2FQiEcPhhKspTVz6%2BNEQ8AXwIeg3XP2Rw6Oo1PrLQlHW6YEQFGcsoeoj46JuaKI5N1uN6AWkKWofPFCP32z4jUFTLHeIn0GpTJWqkDcMDc3q4jwjGk1xom7Nm0rb1V7F9Am3MSHD3Z0GhQAhRehx0lFeOReTA4Iwupe4qcIJeqSqI791b7v67e6oqMLZ8vZKWfrrZNFxl%2FwEd20xze2IJUzCxhnAUD%2FM18ux86G%7Ctkp%3ABk9SR5yj_pjzYg
