title,price,image_url,status,link
Apple AirPods Pro 2nd Generation with MagSafe Wireless Charging Case - Lightning,$75.00,https://i.ebayimg.com/thumbs/images/g/smkAAOSwnBllOF5S/s-l300.jpg,Pre-Owned,https://www.ebay.com/itm/266471575143?epid=25056255340&hash=item3e0af18e67:g:smkAAOSwnBllOF5S&amdata=enc%3AAQAIAAAAwOIaYmKm4y8dMSg0YZjiN28bw2rCuU87gTw0IoHQxEf7xH%2BPFn8LEisK05lkvhDLrVuB04Cm28KUcr1U0S9hkl%2BkjXYMg0ylkWPSCi18mRq111Taxy6seyRE4PwDtmL2U9Aa6mGt%2Br4%2BO%2FbaeyRSn2Uy5JlpX7FWoQ1Qxj5E2nuJEkoYSKcVaH41HI7G1wjZnlUmKUlLGoX0PdRyRt8uIxksqJslzxgT7j8CYqGsPxqE1rRV4B3NnBIdqof6jpJG%2BQ%3D%3D%7Ctkp%3ABk9SR8rvxPjyYg
Apple Airpods Pro 2nd Generation Wireless Charging Case,$72.95,https://i.ebayimg.com/thumbs/images/g/zF8AAOSwlhtj7A79/s-l300.jpg,Open Box,https://www.ebay.com/itm/115707702246?epid=25056255340&hash=item1af0b76be6:g:zF8AAOSwlhtj7A79&amdata=enc%3AAQAIAAAAwEaO6GHGBULE3A21PT1%2BEq3qiQM9Cj2OU8pKq97IAtTowPiHpsw0QeKJF%2BT9b0yhdD3cHDk9I4EX0rWNd%2FrjLfGXy%2FGqShXPllYkj5Xs8Cr4TsZLVF04QCMpQyMAv5S09ZZiQbUSX9HlKsRy5cyvuy31%2BXi5br72B7EtOgXPrwES6XI0UmXkJ%2FiMBCWqhCXJUkJ2it%2FLn%2F1KfeoasXc7maVBzSjy70u5kyIkXTSsbu8b45EBnBsp9559HSPX7pvf9Q%3D%3D%7Ctkp%3ABk9SR8zvxPjyYg
Genuine Original Apple AirPods Pro Replacement Wireless Charging Case ONLY A2190,$60.86,https://i.ebayimg.com/thumbs/images/g/aEQAAOSwmPRk0RFy/s-l300.jpg,Pre-Owned,https://www.ebay.com/itm/235246012483?hash=item36c5c14843:g:aEQAAOSwmPRk0RFy&amdata=enc%3AAQAIAAAA4P4mv6QtErRJYyf8T5im%2BcDpFTwjw7Als3G78pzMWTTE%2BYv7nn6MHvm3F%2BMFp2vBJWQbXJ49x148EjVECc4WuwDqj1n3cizJAtDSZl8Iv7x7v5k2JtSn%2BWp3zwLSnQ55oAyJVwpWUrj8goGN2qBXJQ8mWWbfz2187E77XRPuBvjlKGk%2Fs7dlefToYqzTGnTJ2XRvFi9H7dU%2F9dHgNGCObxUZNQNS5oRZLxfK%2BYzsCiUvhFcwAY9IHiqqow%2BI4zfwDHeisik08GUjlI3qLChvkw2a%2BHws12gKQzC0VTk%2B2u4N%7Ctkp%3ABk9SR8zvxPjyYg
"New Listing
              


              Apple AirPods Pro 2nd Generation With Magsafe Wireless Charging Case MQD83AM/A",$145.99,https://i.ebayimg.com/thumbs/images/g/ndEAAOSwIpJlRTfN/s-l300.jpg,Brand New,https://www.ebay.com/itm/235282176840?hash=item36c7e91b48:g:ndEAAOSwIpJlRTfN&amdata=enc%3AAQAIAAAAwCsyCG4BIxSRjEqoCIdi8vJ%2Fz2uwlaBqHPzKIoLxavqJ0LjZNkLGTziF%2FJJj721xSEprEOtsGWpn0oTvCCDjoPC%2Fb2bQc7Mh8p1S1L4kpSfIgvc%2FcCS78jzlLHlsA2fQeoPdiDqQyopKYT%2BTUbCJHMBEdWC8ixYI96pTkqTkUlWLAwD8UXiBJU2KL9Nuo3f1dS%2BOHgmxCZ6MMOCS2NiKwUGjActhq6mhP6rh12BwDj3XsmUiKyMfpY7EWASdZS1aaQ%3D%3D%7Ctkp%3ABk9SR8zvxPjyYg
"New Listing
              


              Apple AirPods Pro 2nd Generation with MagSafe Wireless Charging Case",$120.00,https://i.ebayimg.com/thumbs/images/g/L78AAOSwWcZlRSaB/s-l300.jpg,Brand New,https://www.ebay.com/itm/186149170817?hash=item2b575aee81:g:L78AAOSwWcZlRSaB&amdata=enc%3AAQAIAAAA4A1eJgTR%2FlNB1gFHNjCujTTNUcghu2eMSbUWATkwwGh4ry2y3BykV9VZkU31he5L4Yq094A1uUuZ3bsbWn40rFgRz3QuFTaOuDl3Z2OC5J1ajzo0FZFpy260r7CuMx%2FM3aSL9rlcEDQ8O0TCkt%2B4xUGPBvevBK%2FJYNFFdZsJE6pcWgJHtaG9tiRs%2BqAE9XBupQm6Um2sVqwDsshdhAm86YkV563jJZiUnevi94u8l4zpgEiLEEEUFXi3s4mqsJFicUTvNfpMhtPEztNSk299QVS%2Bjbkp%2F8kpXPw551yLW79c%7Ctkp%3ABFBMzO_E-PJi
Airpods Pro 2nd Generation Bluetooth Earbuds Earphone Headset & Charging Case,$62.99,https://i.ebayimg.com/thumbs/images/g/QY0AAOSwiMBlAWKL/s-l300.jpg,New (Other),https://www.ebay.com/itm/404489040493?hash=item5e2d6cf26d:g:QY0AAOSwiMBlAWKL&amdata=enc%3AAQAIAAAA4FsU7FAdnHEXH3fZ%2FRKUxJ1JIl7yNfpsfJKIuIIfOM%2FHFKbwZD1itkmoljb6OnWSaNsPbhhIYzPTep2h1rw8TJ1%2FVTiMvAhSS1G9An9mDwHva8IEqH7b0o5KFHERNv75sDlJQxkxHT77hAZ0m3n8oAlB1BhTlVEDFiYq6Z734DoGiUT6oMDWGt9ZKNVpWXpMeABkNokXf%2B0NgMoBqs%2BXcbc2vM5%2BXy8VpcgE5qxpeW9geG%2BaHNFtTWfy7U61H6t%2BaS2T3NaR003LznrUdCyNG8mdZKIqoem0TRWwarEp3OgT%7Ctkp%3ABFBMzO_E-PJi
Apple AirPods Pro with MagSafe Charging Case [2nd Gen] (USB-C),$186.22,https://i.ebayimg.com/thumbs/images/g/5OQAAOSw4wFlIeaZ/s-l300.jpg,Brand New,https://www.ebay.com/itm/175920877825?epid=10063381484&hash=item28f5b39101:g:5OQAAOSw4wFlIeaZ&amdata=enc%3AAQAIAAAA4EUV2FuLojwGrqEJpeK88bInywTu3A2gzEtm8d6JvwtXmk7MoRYWP4dtff%2Fdq0YGkJGudZ06XYLzMrwezmtg9CFnOumlX832PUF%2FC1hGHIiMaIjG05ElomkNYiKyGsDAzzMly%2FnWXTVVgVJhwgFwXvDxv8VX7dzbwq%2BCBErJuoB222pzjrLemudRZzKQGuSjpLgd9j0PhYplIejMie3ZZU3P6Q7Lg8VaMk1JWSuVYQBp%2By0ly9oY06EtHBFyYdwEbzEV9LQWDlHnFmm%2FNEqgv0dGuYagk7M5v2NGEM3fBueX%7Ctkp%3ABFBMzO_E-PJi
Apple AirPods Pro with MagSafe Wireless Charging Case - White,$40.00,https://i.ebayimg.com/thumbs/images/g/AYQAAOSwKM1lG102/s-l300.jpg,Pre-Owned,https://www.ebay.com/itm/126167076323?hash=item1d6024cde3:g:AYQAAOSwKM1lG102&amdata=enc%3AAQAIAAAAwMRJ7Q5MWDSS6hkPiQxVCOvXiCtfmz2h2kcwhqjadqYvklgOJ9ezPmyqkmO9cPvsaCGSCpsFGnhOBY1uKgUypTGpBiuq32owOaD8Q%2F5XeLPdsMSVyiyhPtz%2BvrQk%2Bk3RNej7WJYSsm7ioDsP7Ece%2FB61kBzVn0hGjv4HayIdxVLlc1gXwY04VpHYOBPP8KQBEAYD7W%2BLPFb5pC8pxmmMEYQ4Lc3Qq7avrTJyiHb7EriTgi5LbNwTGro%2FrNYs6NjfYg%3D%3D%7Ctkp%3ABk9SR8zvxPjyYg
Apple Airpods Pro 1st Gen LEFT Side Airpod Only - Original Apple Airpods Pro 1st,$47.99,https://i.ebayimg.com/thumbs/images/g/sRUAAOSw82VfCOqL/s-l300.jpg,Pre-Owned,https://www.ebay.com/itm/114297836968?hash=item1a9cae95a8:g:sRUAAOSw82VfCOqL&amdata=enc%3AAQAIAAAA4CB%2BWolF3oOOtvLqXIDB7r0J%2BKlaGPrjFjdvfMfjBYG4RpZyy2MskHKeyrII5hU8ZRlv3bCpYu3hVUmqRFKHLOnaLks0lz4e8iDdTG1UBZ4ctnPPWSAo0FcTR3Pp553RYPb7P9tWR4TBZDZMEvKvZimV20Gc8LDpAK7%2FsW%2FyKO9yA6NWNR40Gz1GsCgyS7Q8QlNkRvfQlkJqTc49qpY8Eh2wyBdgpLEcjr7LEJpD%2Busw1Rd7Y4g2D%2B6j8eRSfRGbW7HJPtd9WDPyKdao0x2NE61YhewfASzrDu0MXGWF1L%2FU%7Ctkp%3ABk9SR8zvxPjyYg
*BEST OFFER* Apple AirPods Pro 2nd Generation with Wireless Charging Case White,$64.22,https://i.ebayimg.com/thumbs/images/g/5kIAAOSwQwJlI92D/s-l300.jpg,Brand New,https://www.ebay.com/itm/386237773927?epid=16056260933&hash=item59ed90b867:g:5kIAAOSwQwJlI92D&amdata=enc%3AAQAIAAAA4HR%2B72GVAiQsDisqwzT0msDgx6oMxEl7vnn1i2ruMhFPi9vUl9gnNLSikCYI92cdfdw4nKcbLLv8Eb76jiunUjQ5nP2XYCUGw6QHW%2BK6JpKu9NP27muq20zyeyui1gz07KoSJqHCm%2FA%2BI3SEc0wM4tzR%2FfkNVUA7yKng8RUttrG8Z2CIWYx0uZa5aB8WByAVBaJi5NNUadUnZw3vbTg3OTt%2BY4U%2FdQlsHNUErTm8ZbzWz%2ByyNQ4dWF7v%2Bh6v%2Ba1urZPciEpvIiVNguPZ41QMBCggmef8xwDexo1H1kFsnukC%7Ctkp%3ABk9SR8zvxPjyYg
